,X,Y
0,-15.1319444439999,17.8702777780001
1,-15.400277778,18.030833333
2,-14.668888889000002,17.9888888890001
3,-14.6333333329999,17.835833333
4,-13.353888889,18.026388889
5,-12.5797222219999,17.284166667
6,-12.617222222,17.783611111
7,-14.5574999999999,18.808055556000102
8,-15.446111110999901,16.641666667
9,-13.983333333,17.0500000000001
10,-9.19999999999993,17.8666666670001
11,-12.35,17.4166666670001
13,-13.8,16.15
14,41.0000000000001,19.500000000000103
16,-14.533055555999999,17.513888889
17,-14.926388889000002,17.912222222
18,-15.2825,16.8844444440001
19,-14.866666666999901,18.033333332999998
20,-14.85,18.000000000000103
21,-15.0733333329999,17.078611111
22,-13.6402777779999,16.155555556
23,-13.9999999999999,18.6166666670001
24,-14.6,18.333333333
25,-13.486944444,17.735000000000102
26,-15.398055556,16.815277778000098
27,-14.349166667,18.395
28,-13.0475,17.8161111110001
29,-12.1908333329999,17.6791666670001
30,-15.416666667000001,16.7500000000001
31,40.233333333000104,20.15
32,-14.1344444439999,16.638888889
33,-15.726111111,17.235833333000098
34,-14.978333333,17.022222222
37,8.14138888900004,18.3775000000001
38,35.0500000000001,16.8000000000001
39,35.066666667,16.716666667000002
42,35.8500000000001,21.85
43,38.483333333000104,27.633333333000103
44,43.9941666670001,26.084722221999996
45,36.016666666999996,17.783333332999998
46,35.9166666670001,18.283333332999998
48,36.9166666670001,19.000000000000103
50,37.8500000000001,18.500000000000103
51,37.6333333330001,18.266666667
52,32.2500000000001,13.85
54,32.733333333000104,14.9333333330001
56,-10.977222222,18.041111111000102
58,8.32500000000005,18.768888889
59,-12.6788888889999,18.0502777780001
60,40.45,20.316666667
63,8.32277777800005,18.7675
64,8.12000000000006,18.693611111000102
65,36.1666666670001,17.5000000000001
66,37.7500000000001,18.300000000000104
68,34.766666666999996,16.583333333
69,38.2,18.050000000000104
70,38.283333333,18.183333333000103
72,35.216666667,16.6166666670001
73,33.2,14.033333333
80,36.4,17.333333333
81,36.6166666670001,17.083333333
82,36.390277778000005,15.458888889
83,36.6333333330001,17.216666667000002
85,36.8833333330001,16.9333333330001
86,36.019166667,17.789722222
87,32.15,14.2
88,31.966666667,14.1666666670001
89,32.283333333,14.083333332999999
90,32.6000000000001,13.516666667
91,32.591666667,13.441666667
92,33.5225,14.408888889000002
93,37.266666666999996,19.4
95,-13.707777777999999,17.9866666670001
96,38.45,17.816666667
97,39.1269444440001,16.409166667
98,38.8000000000001,15.8000000000001
99,39.0000000000001,15.5000000000001
100,39.216666667,16.216666667000002
102,39.3000000000001,15.9166666670001
103,39.2,16.2
104,39.2,15.5000000000001
105,39.6250000000001,15.2491666670001
107,39.066666667,13.883333333000099
109,32.983333333000104,14.2500000000001
110,39.1666666670001,15.833333332999999
111,30.766666667,14.1666666670001
112,39.45,14.333333332999999
113,36.5000000000001,22.416666667000104
119,38.96,15.506944444000098
120,40.7,21.466666667000002
127,32.3000000000001,13.65
128,32.1000000000001,14.1666666670001
129,31.9,14.6
130,32.1166666670001,13.816666667
131,32.15,13.8000000000001
133,-13.4549999999999,18.080277778
138,4.41083333300003,17.3719444440001
139,36.085833333000004,17.539722222
141,37.783333333,18.45
142,37.566666667,18.1666666670001
143,37.9,18.433333333000103
147,10.1833333330001,24.1
148,8.08333333300004,19.1666666670001
149,8.25000000000006,19.016666667
